canonical_name,carrier,fueltype_custom,technology_custom,p_nom_custom,p_nom_pm,delta_mw,bus_assigned,max_hours_pm,status,notes
Kouga,,Wind,Onshore,77.6000,77.6000,0.0000,585,,ok,
Loeriesfontein2,,Wind,Onshore,138.2000,138.2000,0.0000,672,,ok,
Mulilo_de_aar1,,Wind,Onshore,139.0000,139.0000,0.0000,593,,ok,
Mulilo_de_aar2,,Wind,Onshore,96.5000,96.5000,0.0000,593,,ok,
Metrowind,,Wind,Onshore,86.6000,86.6000,0.0000,1567,,ok,
Noblesfontein,,Wind,Onshore,72.7500,72.7500,0.0000,758,,ok,
Nojoli,,Wind,Onshore,86.6000,86.6000,0.0000,28,,ok,
Noupoort,,Wind,Onshore,79.1000,79.1000,0.0000,163,,ok,
Nxuba,,Wind,Onshore,138.9000,138.9000,0.0000,28,,ok,
Oyster_bay,,Wind,Onshore,140.0000,140.0000,0.0000,585,,ok,
Perdekraal_east,,Wind,Onshore,107.7600,107.7600,0.0000,571,,ok,
Gibson_bay,,Wind,Onshore,110.0000,110.0000,0.0000,584,,ok,
Roggeveld,,Wind,Onshore,140.0000,140.0000,0.0000,1310,,ok,
Sere,,Wind,Onshore,100.0000,100.0000,0.0000,1201,,ok,
Soetwater,,Wind,Onshore,139.4000,139.4000,0.0000,1565,,ok,
Tsitsikama,,Wind,Onshore,94.8000,94.8000,0.0000,584,,ok,
Waainek,,Wind,Onshore,23.4000,23.4000,0.0000,752,,ok,
Wesley_ciskei,,Wind,Onshore,32.7000,32.7000,0.0000,1375,,ok,
Aries Solar,,Solar,PV,9.6500,9.6500,0.0000,124,,ok,
De Aar Solar PV,,Solar,PV,48.2500,48.2500,0.0000,383,,ok,
Droogfontein Solar PV Project,,Solar,PV,48.2500,48.2500,0.0000,598,,ok,
Greefspan PV Power Plant1,,Solar,PV,10.0000,10.0000,0.0000,523,,ok,
Herbert PV Power Plant,,Solar,PV,19.9000,19.9000,0.0000,562,,ok,
Kalkbult,,Solar,PV,72.5000,72.5000,0.0000,1482,,ok,
Kathu Solar Energy Facility,,Solar,PV,75.0000,75.0000,0.0000,586,,ok,
Konkoonsies Solar,,Solar,PV,9.6500,9.6500,0.0000,577,,ok,
Lesedi Power Company,,Solar,PV,64.0000,64.0000,0.0000,597,,ok,
Letsatsi Power Company,,Solar,PV,64.0000,64.0000,0.0000,212,,ok,
Mulilo Renewable Energy Solar PV De Aar,,Solar,PV,9.6500,9.6500,0.0000,383,,ok,
Mulilo Renewable Energy Solar PV Prieska,,Solar,PV,19.9000,19.9000,0.0000,942,,ok,
RustMo1 Solar Farm,,Solar,PV,6.7600,6.7600,0.0000,179,,ok,
SlimSun Swartland Solar Park,,Solar,PV,5.0000,5.0000,0.0000,1248,,ok,
Solar Capital De Aar,,Solar,PV,75.0000,75.0000,0.0000,561,,ok,
Soutpan Solar Park,,Solar,PV,28.0000,28.0000,0.0000,1038,,ok,
Touwsrivier Project,,Solar,PV,36.0000,36.0000,0.0000,1079,,ok,
Witkop Solar Park,,Solar,PV,30.0000,30.0000,0.0000,258,,ok,
Boshoff Solar Park,,Solar,PV,60.0000,60.0000,0.0000,596,,ok,
Jasper Power Company,,Solar,PV,75.0000,75.0000,0.0000,597,,ok,
