layer_key,attachment_type,source_id,target_region_id,weight,source_file,source_hash,notes
34,other_re,Other RE,Newcastle,0.028894324963,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Pinetown,0.046445627355,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Lephalale,0.033494606195,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Phalaborwa,0.031561273552,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Polokwane,0.056341218362,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Warmbad,0.030154885098,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Highveld South,0.042682487052,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Lowveld,0.016364937801,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Middelburg,0.025380651205,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Witbank,0.028793943962,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Carletonville,0.067334940743,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Rustenburg,0.006770417346,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Kalahari,0.019690672701,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Kimberley,0.017490819756,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Namaqualand,0.005853862859,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Vredendal,0.013489541120,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Greater Komsberg,0.004749667229,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Outeniqua,0.061802575842,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,Peninsula,0.004384430026,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
34,other_re,Other RE,West Coast,0.013357222023,data/za_validation/eskom_2023_hourly_clean.csv,bab73ee6b46d4c147d64b9e0b8d88a01eff2d49229e4688729b180aa1ca4221a,Other RE proxy uses demand weights because plant locations are not exposed in Eskom hourly source
