Supply_Are,Substation,Substati_1,Transforme,NoOfTrfrs,TrfrSizeMV,InstalledT,LightLoad,GxAtLightL,YearOfTrfr,UpgradeSta,NoOfTrfrs2,TrfrSize_1,Installe_1,REIPPPGenA,MVLimitLL2,HVLimitLL2,HVAreaLimi,CLNLimitLL,MVLimitMDL,HVLimitMDL,HVAreaLi_1,CLNLimitMD,Status
Outeniqua,Agullas,Agullas 400/132,400/132,0,0,0,0.0,0.0,-,-,2,500,1000,-,980.0,1650.0,1650.0,4850,980,1650.0,1650.0,2725,Planned
Outeniqua,Asteria,Asteria 400/132,400/132,0,0,0,51.0,0.0,2022,Approved,2,500,1000,-,1031.0,1650.0,1650.0,4850,1031,1650.0,1650.0,2725,Planned
Outeniqua,Bacchus,Bacchus 400/132,400/132,2,500,1000,58.0,29.045,-,-,2,500,1000,94.09,1008.955,3300.0,3300.0,4850,1008.955,2400.0,2400.0,2725,Existing
Outeniqua,Droerivier,Droerivier 400/132,400/132,2,120,240,19.0,50.0,-,-,2,120,240,-,204.2,4875.0,4875.0,4850,204.2,3125.0,3125.0,2725,Existing
Outeniqua,Kappa,Kappa 765/400,765/400,1,2000,2000,0.0,0.0,-,-,1,2000,2000,-,1960.0,3700.0,3700.0,4850,1960,2625.0,3700.0,2725,Existing
Outeniqua,Proteus,Proteus 132/66,132/66,2,80,160,134.0,0.0,-,-,2,80,160,-,290.8,160.0,160.0,4850,290.8,160.0,160.0,2725,Existing
Outeniqua,Proteus,Proteus 400/132,400/132,2,500,1000,134.0,0.0,-,-,2,500,1000,-,1114.0,1200.0,1200.0,4850,1114,1750.0,1750.0,2725,Existing
Peninsula,Acacia,Acacia 132/66,132/66,2,120,240,210.0,0.0,-,-,2,120,240,-,445.2,445.2,445.2,5575,445.2,445.2,445.2,4450,Existing
Peninsula,Acacia,Acacia 400/132,400/132,3,500,1500,210.0,0.0,-,-,3,500,1500,-,1680.0,3700.0,3700.0,5575,1680,3700.0,3700.0,4450,Existing
Peninsula,Muldersvlei,Muldersvlei 132/66,132/66,2,80,160,170.0,67.6,-,-,2,80,160,-,259.2,4750.0,4750.0,5575,259.2,2375.0,2375.0,4450,Existing
Peninsula,Muldersvlei,Muldersvlei 400/132,400/132,3,500,1500,170.0,67.6,-,-,3,500,1500,-,1572.4,4750.0,4750.0,5575,1572.4,2375.0,2375.0,4450,Existing
Peninsula,Philippi,Philippi 400/132,400/132,2,500,1000,215.0,0.0,-,-,2,500,1000,-,1195.0,1950.0,1950.0,5575,1195,1450.0,1450.0,4450,Existing
Peninsula,Pinotage,Pinotage 400/132,400/132,0,0,0,108.0,0.0,2018,Approved,2,500,1000,-,1088.0,1500.0,1500.0,5575,1088,1500.0,1500.0,4450,Planned
Peninsula,Sterrekus,Sterrekus 765/400,765/400,1,2000,2000,0.0,0.0,-,-,1,2000,2000,-,1960.0,3100.0,3100.0,5575,1960,3100.0,3100.0,4450,Existing
Peninsula,Stikland,Stikland 400/132,400/132,3,500,1500,210.0,0.0,-,-,3,500,1500,-,1680.0,3100.0,3100.0,5575,1680,3100.0,3100.0,4450,Existing
Phalaborwa,Acornhoek,Acornhoek 275/132,275/132,2,125,250,0.0,0.0,-,-,2,125,250,-,245.0,1000.0,1000.0,3600,245,2250.0,1950.0,3600,Existing
Phalaborwa,Foskor,Foskor 275/132,275/132,3,250,750,133.0,0.0,-,-,3,250,750,-,868.0,900.0,900.0,3600,868,900.0,900.0,3600,Existing
Phalaborwa,Merensky,Merensky 275/132,275/132,2,250,500,42.0,0.0,-,-,2,250,500,-,532.0,2450.0,2550.0,3600,532,2550.0,2550.0,3600,Existing
Phalaborwa,Merensky,Merensky 400/132,400/132,1,500,500,42.0,0.0,-,-,1,500,500,-,532.0,3150.0,3150.0,3600,532,3900.0,3900.0,3600,Existing
Phalaborwa,Merensky,Merensky 400/275,400/275,3,400,1200,42.0,0.0,-,-,3,400,1200,-,1218.0,3150.0,3150.0,3600,1218,3900.0,3900.0,3600,Existing
Phalaborwa,Senakangwedi,Senakangwedi 275/33,275/33,2,180,360,41.0,0.0,-,-,2,180,360,-,393.8,1450.0,1450.0,3600,393.8,1400.0,1400.0,3600,Existing
Pinetown,Ariadne,Ariadne 400/132,400/132,2,500,1000,0.0,0.0,-,-,2,500,1000,-,980.0,2900.0,2900.0,4650,980,3250.0,3250.0,4225,Existing
Pinetown,Avon,Avon 275/132,275/132,3,250,750,0.0,0.0,2017,-,3,250,750,-,735.0,1500.0,1500.0,4650,735,1850.0,1850.0,4225,Existing
Pinetown,Eros,Eros 400/132,400/132,2,500,1000,98.0,0.0,-,-,2,500,1000,-,1078.0,2675.0,2675.0,4650,1078,2950.0,2950.0,4225,Existing
Pinetown,Georgedale,Georgedale 132/88,132/88,2,45,90,24.0,0.0,-,-,2,45,90,-,112.2,112.0,112.0,4650,112.2,112.0,112.0,4225,Existing
Pinetown,Georgedale,Georgedale 275/132,275/132,2,150,300,24.0,0.0,,,1,150,150,-,171.0,1500.0,1500.0,4650,171,1200.0,1200.0,4225,Existing
Pinetown,Georgedale,Georgedale 275/132,275/132,1,250,250,24.0,0.0,-,-,1,250,250,-,269.0,1500.0,1500.0,4650,171,1200.0,1200.0,4225,Existing
Pinetown,Hector,Hector 400/275,400/275,3,800,2400,0.0,0.0,-,-,3,800,2400,-,2352.0,3150.0,3150.0,4650,2352,4200.0,4200.0,4225,Existing
Pinetown,Illovo,Illovo 132/88,132/88,1,80,80,0.0,0.0,-,-,1,80,80,-,78.4,80.0,80.0,4650,78.4,80.0,80.0,4225,Existing
Pinetown,Illovo,Illovo 275/132,275/132,2,250,500,0.0,0.0,-,-,2,250,500,-,490.0,1900.0,1900.0,4650,490,2300.0,2300.0,4225,Existing
Pinetown,Mersey,Mersey 275/132,275/132,2,250,500,42.0,0.0,-,-,2,250,500,-,532.0,3200.0,3200.0,4650,532,3425.0,3425.0,4225,Existing
Pinetown,Mersey,Mersey 400/275,400/275,3,800,2400,42.0,0.0,-,-,3,800,2400,-,2394.0,5100.0,5500.0,4650,2394,3462.0,3462.0,4225,Existing
Polokwane,Leseding,Leseding 400/132,400/132,2,500,1000,215.0,0.0,-,-,2,500,1000,-,1195.0,2150.0,2150.0,2150,1195,2150.0,2150.0,2150,Existing
Polokwane,Spencer,Spencer 275/132,275/132,2,250,500,70.0,0.0,-,-,2,250,500,-,560.0,950.0,950.0,2150,560,1050.0,350.0,2150,Existing
Polokwane,Tabor,Tabor 275/132,275/132,2,250,500,96.0,0.0,-,-,2,250,500,28,586.0,800.0,800.0,2150,586,900.0,350.0,2150,Existing
Polokwane,Tabor,Tabor 400/132,400/132,1,500,500,96.0,0.0,-,-,1,500,500,-,586.0,500.0,500.0,2150,586,500.0,350.0,2150,Existing
Polokwane,Witkop,Witkop 400/275,400/275,2,400,800,170.0,0.0,-,-,2,400,800,-,954.0,1450.0,1450.0,2150,954,900.0,350.0,2150,Existing
Polokwane,Witkop,Witkop 400/132,400/132,3,500,1500,170.0,0.0,-,-,3,500,1500,30,1640.0,1350.0,1350.0,2150,1640,1050.0,375.0,2150,Existing
Port Elizabeth,Dedisa,Dedisa 400/132,400/132,2,500,1000,85.0,0.0,2022,Proposed,3,500,1500,-,1555.0,1300.0,2015.0,1300,1555,2200.0,2200.0,2200,Existing
Port Elizabeth,Grassridge,Grassridge 220/132,220/132,2,360,720,167.0,0.0,-,-,2,360,720,26.19,872.6,1300.0,2650.0,1300,872.6,2200.0,2200.0,2200,Existing
Port Elizabeth,Grassridge,Grassridge 400/132,400/132,4,500,2000,167.0,321.125,-,-,4,500,2000,616.06,1805.875,750.0,15.0,1300,1805.875,1800.0,1800.0,2200,Existing
Port Elizabeth,Poseidon,Poseidon 220/66,220/66,1,40,40,24.0,0.0,-,-,1,40,40,-,63.2,1000.0,1000.0,1300,63.2,2200.0,2200.0,2200,Existing
Port Elizabeth,Poseidon,Poseidon 220/66,220/66,1,80,80,24.0,0.0,-,-,1,80,80,-,102.4,1000.0,1000.0,1300,63.2,2200.0,2200.0,2200,Existing
Port Elizabeth,Poseidon,Poseidon 220/132,220/132,2,125,250,24.0,0.0,-,-,2,125,250,158.4,269.0,1000.0,1000.0,1300,269,2200.0,2200.0,1300,Existing
Port Elizabeth,Poseidon,Poseidon 400/132,400/132,0,0,0,24.0,319.76,-,-,1,500,500,481.12,194.24,1300.0,1300.0,1300,194.24,2200.0,2200.0,2200,Existing
Port Elizabeth,Poseidon,Poseidon 400/220,400/220,2,500,1000,24.0,0.0,-,-,2,500,1000,-,1004.0,1000.0,1000.0,1300,1004,2200.0,2200.0,2200,Existing
Rustenburg,Ararat,Ararat 275/88,275/88,3,315,945,95.0,0.0,-,-,3,315,945,-,1021.1,850.0,850.0,2600,1021.1,900.0,900.0,5650,Existing
Rustenburg,Bighorn,Bighorn 275/88,275/88,3,315,945,210.0,0.0,-,-,3,315,945,-,1136.1,2300.0,2600.0,2600,1136.1,2600.0,2200.0,5650,Existing
Rustenburg,Bighorn,Bighorn 400/275,400/275,2,800,1600,210.0,0.0,-,-,2,800,1600,-,1778.0,4200.0,4200.0,2600,1778,4200.0,4200.0,5650,Existing
Rustenburg,Dinaledi,Dinaledi 400/132,400/132,2,500,1000,142.0,0.0,-,-,3,500,1500,-,1612.0,4050.0,4050.0,2600,1612,3950.0,3950.0,5650,Existing
Rustenburg,Marang,Marang 400/88,400/88,4,315,1260,88.0,0.0,-,-,4,315,1260,-,1322.8,2700.0,2700.0,2600,1322.8,2650.0,2650.0,5650,Existing
Rustenburg,Ngwedi (Mogwase),Ngwedi (Mogwase) 400/132,400/132,1,500,500,87.0,0.0,2020,-,2,500,1000,-,1067.0,3300.0,3300.0,2600,1067,3225.0,3225.0,5650,Planned
Rustenburg,Trident,Trident 275/88,275/88,2,315,630,153.0,0.0,-,-,2,315,630,-,770.4,1550.0,1650.0,2600,770.4,2500.0,1550.0,5650,Existing
Sasolburg,Mercury,Mercury 400/132,400/132,2,500,1000,42.0,0.0,-,-,2,500,1000,67.9,1022.0,2250.0,2250.0,2200,1022,2300.0,2300.0,2700,Existing
