Supply_Are,Substation,Substati_1,Transforme,NoOfTrfrs,TrfrSizeMV,InstalledT,LightLoad,GxAtLightL,YearOfTrfr,UpgradeSta,NoOfTrfrs2,TrfrSize_1,Installe_1,REIPPPGenA,MVLimitLL2,HVLimitLL2,HVAreaLimi,CLNLimitLL,MVLimitMDL,HVLimitMDL,HVAreaLi_1,CLNLimitMD,Status
Witbank,Kruispunt,Kruispunt 275/132,275/132,4,250,1000,0.0,0.0,-,-,4,250,1000,-,980.0,1150.0,1150.0,2350,980,1250.0,1250.0,2550,Existing
Witbank,Vulcan,Vulcan 400/132,400/132,2,500,1000,125.0,0.0,2022,Proposed,4,500,2000,-,2085.0,4400.0,4400.0,2350,1105,4075.0,4075.0,2550,Existing
Lephalale,Borutho,Borutho 400/132,400/132,2,500,1000,120.0,0.0,2022,Proposed,2,500,1000,-,1100.0,3600.0,3600.0,2900,1100,2250.0,600.0,2850,Existing
Middelburg,Emkhiweni (Rockdale B),Emkhiweni (Rockdale B) 400/132,400/132,0,0,0,0.0,0.0,2022,Proposed,2,500,1000,-,980.0,1500.0,1500.0,1050,980,3200.0,3200.0,1350,Planned
Phalaborwa,Silimela,Silimela 400/132,400/132,2,500,1000,39.0,0.0,2019,Approved,2,500,1000,-,1019.0,2150.0,2150.0,3600,1019,2400.0,2400.0,3600,Planned
Outeniqua,Komsberg,Komsberg 400/132,400/132,-,-,-,37.0,209.6,2020,Approved,1,500,500,-,317.4,1300.0,1300.0,4850,317.4,2000.0,2000.0,1350,Planned
Tshwane,Wildebees,Wildebees 400/132,400/132,-,-,-,33.0,0.0,2021,,2,315,630,-,650.4,1450.0,1450.0,4550,650.4,1450.0,1450.0,4550,Planned
Tshwane,Njala,Njala 275/132,275/132,4,250,1000,129.0,0.0,-,-,4,250,1000,-,1109.0,1550.0,1550.0,4550,1109,1550.0,1550.0,4550,Existing
Tshwane,Kwagga,Kwagga 275/132,275/132,4,300,1200,311.0,0.0,-,-,4,300,1200,-,1487.0,1850.0,1850.0,4550,1487,1850.0,1850.0,4550,Existing
Johannesburg South,Sebenza,Sebenza 275/88,275/88,-,-,-,37.0,0.0,2022,Approved,2,315,630,-,654.4,1150.0,1400.0,3900,654.4,1950.0,925.0,925,Planned
Johannesburg South,Prospect,Prospect 275/88,275/88,4,250,1000,134.0,209.6,-,-,4,250,1000,-,904.4,1150.0,1150.0,3900,1114,1850.0,925.0,925,Existing
