carrier,capital_cost,marginal_cost,fuel_price,efficiency,heat_rate,co2_emissions,lifetime,color,nice_name,validation_target,units_currency,units_quantity,source,source_path,source_hash,base_year,pypsa_earth_default_retained_reason,notes
coal,,40.561224534,45.180000000,0.298359025,12.066000000,1.010000000,,,,,EUR/MWh,tCO2/MWh; heat_rate GJ/MWh; fuel_price R/GJ,pypsa_rsa,fixed_technologies.xlsx,43d50d567cc46aa500186e101e9d8c7de22e4448d4aafeef709221c73d7ca35b,2018,,marginal_cost = (fuel_price R/GJ ÷ base-year EUR/ZAR rate) × heat_rate + VOM_eur; capital_cost left blank — Module 08 owns custom_powerplants capex
nuclear,,16.391057193,18.000000000,0.324003240,11.111000000,0.000000000,,,,,EUR/MWh,tCO2/MWh; heat_rate GJ/MWh; fuel_price R/GJ,pypsa_rsa,fixed_technologies.xlsx,43d50d567cc46aa500186e101e9d8c7de22e4448d4aafeef709221c73d7ca35b,2018,,marginal_cost = (fuel_price R/GJ ÷ base-year EUR/ZAR rate) × heat_rate + VOM_eur; capital_cost left blank — Module 08 owns custom_powerplants capex
ocgt_diesel,,380.282473988,515.299377800,0.312527129,11.519000000,0.574000000,,#cc6633,OCGT diesel,Eskom 2023 OCGT/diesel reconciliation,EUR/MWh,tCO2/MWh; heat_rate GJ/MWh; fuel_price R/GJ,pypsa_rsa,fixed_technologies.xlsx,43d50d567cc46aa500186e101e9d8c7de22e4448d4aafeef709221c73d7ca35b,2018,,marginal_cost = (fuel_price R/GJ ÷ base-year EUR/ZAR rate) × heat_rate + VOM_eur; capital_cost left blank — Module 08 owns custom_powerplants capex
ocgt_gas,,200.844403752,272.000000000,0.312527129,11.519000000,0.574000000,,#d35050,OCGT gas,Eskom 2023 OCGT/gas reconciliation,EUR/MWh,tCO2/MWh; heat_rate GJ/MWh; fuel_price R/GJ,pypsa_rsa,fixed_technologies.xlsx,43d50d567cc46aa500186e101e9d8c7de22e4448d4aafeef709221c73d7ca35b,2018,,marginal_cost = (fuel_price R/GJ ÷ base-year EUR/ZAR rate) × heat_rate + VOM_eur; capital_cost left blank — Module 08 owns custom_powerplants capex
sasol_coal,,18.015066575,15.600000000,0.290979631,12.372000000,1.347000000,,#6f4e37,Sasol coal,diagnostic only,EUR/MWh,tCO2/MWh; heat_rate GJ/MWh; fuel_price R/GJ,pypsa_rsa,fixed_technologies.xlsx,43d50d567cc46aa500186e101e9d8c7de22e4448d4aafeef709221c73d7ca35b,2018,,marginal_cost = (fuel_price R/GJ ÷ base-year EUR/ZAR rate) × heat_rate + VOM_eur; capital_cost left blank — Module 08 owns custom_powerplants capex
sasol_gas,,48.491445556,75.000000000,0.375000000,9.600000000,0.432000000,,#b56576,Sasol gas,diagnostic only,EUR/MWh,tCO2/MWh; heat_rate GJ/MWh; fuel_price R/GJ,pypsa_rsa,fixed_technologies.xlsx,43d50d567cc46aa500186e101e9d8c7de22e4448d4aafeef709221c73d7ca35b,2018,,marginal_cost = (fuel_price R/GJ ÷ base-year EUR/ZAR rate) × heat_rate + VOM_eur; capital_cost left blank — Module 08 owns custom_powerplants capex
