scenario_set,sheet,Unnamed: 0,bus,tech_fuel,capacity_factor,period,incl_pu,limit,apply_to,units,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,scenario,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,type
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ccgt_steam,capacity_factor,year,False,min,all,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,nuclear,capacity_factor,year,False,min,all,%,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,nuclear,capacity_factor,hour,False,min,all,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,rmippp,capacity_factor,year,False,min,fixed,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,sasol_coal,output_energy,year,False,max,fixed,TWh,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,wind + solar_pv + solar_csp,output_power,hour,False,max,all,MW,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_diesel + ocgt_avf,capacity_factor,year,False,max,all,%,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_diesel_emg,capacity_factor,year,False,max,extendable,%,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas + ocgt_gas_h2_40 + ocgt_gas_h2_45 + ocgt_gas_h2_50,primary_energy,year,False,min,extendable,PJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_40,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_40,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_40,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_45,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_45,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_45,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_50,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_50,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ocgt_gas_h2_50,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,ccgt_steam,capacity_factor,year,False,min,all,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,nuclear,capacity_factor,year,False,min,all,%,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,nuclear,capacity_factor,hour,False,min,all,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,rmippp,capacity_factor,year,False,min,fixed,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,sasol_coal,output_energy,year,False,max,fixed,TWh,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST40,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,AMBITIONS,global,ocgt_diesel + ocgt_avf,capacity_factor,year,False,max,all,%,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,AMBITIONS,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,AMBITIONS,global,ccgt_steam,capacity_factor,year,False,min,all,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,
ME IRP 2024,operational_constraints,AMBITIONS,global,coal,capacity_factor,year,False,min,fixed,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,,,,,,
ME IRP 2024,operational_constraints,AMBITIONS,global,coal,capacity_factor,year,False,min,extendable,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,,,,,,
ME IRP 2024,operational_constraints,AMBITIONS,global,sasol_coal,output_energy,year,False,max,fixed,TWh,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,AMBITIONS,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,HIGH_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_40 + ocgt_gas_h2_45 + ocgt_gas_h2_50+ ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,200.0,200.0,200.0,200.0,200.0,,,,,,,,,,,,HIGH_GAS,,,,,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_45 + ocgt_gas_h2_50+ ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,200.0,200.0,200.0,200.0,200.0,,,,,,,HIGH_GAS,,,,,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_50+ ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,200.0,200.0,200.0,,HIGH_GAS,,,,,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,HIGH_GAS,200.0,200.0,200.0,200.0,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH_GAS,,,,,200.0,200.0,200.0,200.0,200.0,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH_GAS,,,,,,,,,,200.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,HIGH_GAS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_40,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_40,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,HIGH_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_45,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_45,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,HIGH_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_50,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,HIGH_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_50,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,HIGH_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_55,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,HIGH_GAS,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_55,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HIGH_GAS,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_60,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,HIGH_GAS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_60,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HIGH_GAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,
Coal_Flexibilisation,operational_constraints,,global,ccgt_steam,capacity_factor,month,False,min,all,%,0.3,0.3,0.3,0.3,0.3,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,HIGH_GAS,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
Coal_Flexibilisation,operational_constraints,,global,nuclear,capacity_factor,hour,True,min,all,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HIGH_GAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Coal_Flexibilisation,operational_constraints,,global,rmippp,capacity_factor,year,False,min,fixed,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,HIGH_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,sasol_coal,output_energy,year,False,max,fixed,TWh,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,HIGH_GAS,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,
Coal_Flexibilisation,operational_constraints,,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,LOW_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_40 + ocgt_gas_h2_45 + ocgt_gas_h2_50+ ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,LOW_GAS,,,,,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_45 + ocgt_gas_h2_50+ ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,,,,,,,LOW_GAS,,,,,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_50+ ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,,LOW_GAS,,,,,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_55+ ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LOW_GAS,50.0,50.0,50.0,50.0,,,,,,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas + ocgt_gas_h2_60,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOW_GAS,,,,,50.0,50.0,50.0,50.0,50.0,,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas,primary_energy,year,False,min,extendable,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOW_GAS,,,,,,,,,,50.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,LOW_GAS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_40,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_40,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,LOW_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_45,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,LOW_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_45,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,LOW_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_50,capacity_factor,month,False,min,extendable,%,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,LOW_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,operational_constraints,,global,ocgt_gas_h2_50,capacity_factor,week,False,max,extendable,%,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,LOW_GAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
