scenario_set,sheet,Scenario,Power Station Name,Grouping,Carrier,Unit size (MW),Number units,Capacity (MW),Commissioning Date,Decommissioning Date,Heat Rate (GJ/MWh),CO2 Emissions (kgCO2/MWh),Fuel Price (R/GJ),Max Ramp Up (%/h),Max Ramp Down (%/h),Max Ramp Start Up (%/h),Max Ramp Shut Down (%/h),Min Stable Level (%),Min Up Time (h),Min Down Time (h),Variable O&M Cost (R/MWh),Fixed O&M Cost (R/kW/yr),Unit Start Up Cost (R),Start Up Cost (R),Shut Down Cost (R),GPS Latitude,GPS Longitude,Model Key,PV Mounting,PV DC-AC Ratio,Wind Hub Height,CSP Storage Hours,Round Trip Efficiency (%),Max Storage (GWh),Max Storage (hours),scenario,station_name,grouping,carrier,dispatch_committable,unit_size (MW),number_units,capacity (MW),commissioning_date,decommissioning_date,avg_heat_rate (GJ/MWh),marginal_heat_rate (GJ/MWh),no_load_heat_rate (GJ/h),co2_emissions_input (kgCO2/GJ),co2_emissions_output (kgCO2/MWh),fuel_price (R/GJ),max_ramp_up (%/h),max_ramp_down (%/h),max_ramp_start_up (%/h),max_ramp_shut_down (%/h),min_stable_level (%),min_up_time (h),min_down_time (h),variable_om_cost (R/MWh),fixed_om_cost (R/kW/yr),unit_start_cost (R),start_up_cost (R),shut_down_cost (R),gps_lat,gps_lon,comments,model_key,pv_mounting,pv_dc_ac_ratio,wind_hub_height,csp_storage_hours,round_trip_efficiency (%),storage_energy (GWh),storage_hours,commissioning_year,decommissioning_year,included_2023
ME IRP 2024,conventional,BASE,Kendal**,eskom,coal,640.0,3.0,1920.0,-,2050,11.782,1056.0,45.18,0.167,0.167,0.0835,0.0835,0.0,0.0,0.0,88.3663253697383,1118.95788623436,84316.6169931513,252949.85097945388,0.0,-26.08805,28.96888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,BASE,Komati,eskom,coal,114.0,1.0,114.0,-,2022,15.123,1010.0,45.18,0.167,0.167,0.0835,0.0835,0.0,0.0,0.0,88.3663253697383,1115.97458930603,8782.97661497838,8782.97661497838,0.0,-26.09078,29.47446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,False
ME IRP 2024,conventional,BASE,Kriel*,eskom,coal,405.0,3.0,1215.0,-,2028,12.995,1010.0,45.18,0.454736842105263,0.454736842105263,0.2273684210526315,0.2273684210526315,0.65,0.0,0.0,88.3663253697383,1115.97458930603,63237.5146040728,189712.5438122184,0.0,-26.25404,29.18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028.0,False
ME IRP 2024,conventional,BASE,Kriel**,eskom,coal,475.0,3.0,1425.0,-,2030,12.995,1010.0,45.18,0.454736842105263,0.454736842105263,0.2273684210526315,0.2273684210526315,0.65,0.0,0.0,88.3663253697383,1115.97458930603,63237.5146040728,189712.5438122184,0.0,-26.25404,29.18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030.0,False
ME IRP 2024,conventional,BASE,Kusile*,eskom,coal,720.0,4.0,2880.0,-,beyond 2050,10.305,947.0,45.18,0.6,0.6,0.3,0.3,0.0,0.0,0.0,121.970420932878,1165.56676678043,87058.6696962685,348234.678785074,0.0,-25.92007,28.924942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,BASE,Kusile**,eskom,coal,720.0,1.0,720.0,2023,beyond 2050,10.305,947.0,45.18,0.6,0.6,0.3,0.3,0.0,0.0,0.0,121.970420932878,1165.56676678043,87058.6696962685,87058.6696962685,0.0,-25.92007,28.924942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,2050.0,True
ME IRP 2024,conventional,BASE,Kusile***,eskom,coal,720.0,1.0,720.0,2024,beyond 2050,10.305,947.0,45.18,0.6,0.6,0.3,0.3,0.0,0.0,0.0,121.970420932878,1165.56676678043,87058.6696962685,87058.6696962685,0.0,-25.92007,28.924942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,2050.0,False
ME IRP 2024,conventional,BASE,Lethabo*,eskom,coal,593.0,3.0,1779.0,-,2038,11.003,986.0,45.18,0.596964586846543,0.596964586846543,0.2984822934232715,0.2984822934232715,0.65,0.0,0.0,88.3663253697383,1115.97458930603,77729.5919647099,233188.7758941297,0.0,-26.74027,27.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.0,False
ME IRP 2024,conventional,BASE,Lethabo**,eskom,coal,593.0,3.0,1779.0,-,2041,11.519,986.0,45.18,0.596964586846543,0.596964586846543,0.2984822934232715,0.2984822934232715,0.0,0.0,0.0,88.3663253697383,1115.97458930603,77729.5919647099,233188.7758941297,0.0,-26.74027,27.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.0,False
ME IRP 2024,conventional,BASE,Majuba*,eskom,coal,606.0,3.0,1818.0,-,2048,11.782,1056.0,45.18,0.167,0.166939443535188,0.0835,0.083469721767594,0.0,0.0,0.0,88.3663253697383,1115.97458930603,160728.803902389,482186.41170716693,0.0,-27.09555,29.77055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.0,False
