layer_key,target_region_id,pypsa_earth_weight,gva_2016_weight,pop_2016_weight,gva_deviation,pop_deviation,status,notes
34,Witbank,0.028793943962,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Carletonville,0.067334940743,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Rustenburg,0.006770417346,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Kalahari,0.019690672701,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Kimberley,0.017490819756,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Namaqualand,0.005853862859,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Vredendal,0.013489541120,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Greater Komsberg,0.004749667229,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Outeniqua,0.061802575842,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,Peninsula,0.004384430026,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
34,West Coast,0.013357222023,,,,,diagnostic_unavailable,"No regional GVA_2016/POP_2016 columns in audited layer 34; audited_layers=['1', '10', '159', '27', '34']"
