Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,source_count,source_flags,raw_project_ids
Sere Wind Farm,Wind,Onshore,PP,South Africa,100.0,,2015.0,,,-31.5296,18.0943,,,,,{nan},"{'GWPT': {'G100000900029'}, 'GPD': {'WRI1000134'}}",1,ppm,"{'GWPT': {'G100000900029'}, 'GPD': {'WRI1000134'}}"
Kouga Wind Farm,Wind,Onshore,PP,South Africa,80.0,,2015.0,,,-34.144,24.7004,,,,,{nan},"{'GWPT': {'G100000900063'}, 'GPD': {'WRI1026014'}}",1,ppm,"{'GWPT': {'G100000900063'}, 'GPD': {'WRI1026014'}}"
Loeriesfontein Wind Farm,Wind,Onshore,PP,South Africa,278.0,,2017.0,,,-30.39185,19.58905,,,,,"{nan, nan}","{'GWPT': {'G100000927426', 'G100000900048'}, 'GPD': {'WRI1061282'}}",1,ppm,"{'GWPT': {'G100000927426', 'G100000900048'}, 'GPD': {'WRI1061282'}}"
Khobab Wind Farm,Wind,Onshore,PP,South Africa,140.0,,2017.0,,,-30.4344,19.5538,,,,,{nan},"{'GWPT': {'G100000900047'}, 'GPD': {'WRI1061278'}}",1,ppm,"{'GWPT': {'G100000900047'}, 'GPD': {'WRI1061278'}}"
Jeffrey Bay Wind Farm,Wind,Onshore,PP,South Africa,138.0,,2011.0,,,-34.0107,24.8808,,,,,{nan},"{'GWPT': {'G100000900039'}, 'GPD': {'WRI1061296'}}",1,ppm,"{'GWPT': {'G100000900039'}, 'GPD': {'WRI1061296'}}"
Grassridge Wind Farm,Wind,Onshore,PP,South Africa,62.0,,2014.0,,,-33.6551,25.5915,,,,,{nan},"{'GWPT': {'G100000900013'}, 'GPD': {'WRI1061298'}}",1,ppm,"{'GWPT': {'G100000900013'}, 'GPD': {'WRI1061298'}}"
Gouda Wind Farm,Wind,Onshore,PP,South Africa,138.0,,2015.0,,,-33.2564,19.0184,,,,,{nan},"{'GWPT': {'G100000900001'}, 'GPD': {'WRI1061299'}}",1,ppm,"{'GWPT': {'G100000900001'}, 'GPD': {'WRI1061299'}}"
Dorper Wind Farm,Wind,Onshore,PP,South Africa,100.0,,2012.0,,,-31.4809,26.4393,,,,,{nan},"{'GWPT': {'G100000900060'}, 'GPD': {'WRI1061295'}}",1,ppm,"{'GWPT': {'G100000900060'}, 'GPD': {'WRI1061295'}}"
Dassieklip Wind Farm,Wind,Onshore,PP,South Africa,27.0,,2014.0,,,-34.2275,19.383,,,,,{nan},"{'GWPT': {'G100000900007'}, 'GPD': {'WRI1026021'}}",1,ppm,"{'GWPT': {'G100000900007'}, 'GPD': {'WRI1026021'}}"
Cookhouse Wind Farm,Wind,Onshore,PP,South Africa,139.0,,2014.0,,,-32.7333,25.9093,,,,,{nan},"{'GWPT': {'G100000900002'}, 'GPD': {'WRI1026026'}}",1,ppm,"{'GWPT': {'G100000900002'}, 'GPD': {'WRI1026026'}}"
Chaba Wind Farm,Wind,Onshore,PP,South Africa,22.0,,2015.0,,,-32.5901,27.9623,,,,,{nan},"{'GWPT': {'G100000900014'}, 'GPD': {'WRI1061301'}}",1,ppm,"{'GWPT': {'G100000900014'}, 'GPD': {'WRI1061301'}}"
Aurora Rietvlei Solar,Solar,PV,PP,South Africa,8.9,,2014.0,,,-32.6413,18.4973,,,,,{nan},"{'GSPT': {'G100000831277'}, 'GPD': {'WRI1026034'}}",1,ppm,"{'GSPT': {'G100000831277'}, 'GPD': {'WRI1026034'}}"
Bokpoort Concentrated Solar,Solar,Csp,PP,South Africa,50.0,,2016.0,,,-28.7333,21.9955,,,,,{nan},"{'GSPT': {'G100000800082'}, 'GPD': {'WRI1026035'}}",1,ppm,"{'GSPT': {'G100000800082'}, 'GPD': {'WRI1026035'}}"
Boshof Solar,Solar,PV,PP,South Africa,66.0,,2014.0,,,-28.4628,25.1891,,,,,{nan},"{'GSPT': {'G100000800086'}, 'GPD': {'WRI1026036'}}",1,ppm,"{'GSPT': {'G100000800086'}, 'GPD': {'WRI1026036'}}"
Konkoonsies Solar Energy Facility,Solar,PV,PP,South Africa,95.6,,2014.0,,,-28.887,19.5545,,,,,"{nan, nan}","{'GSPT': {'G100000831285', 'G100000800226'}, 'GPD': {'WRI1026049', 'WRI1061280'}}",1,ppm,"{'GSPT': {'G100000831285', 'G100000800226'}, 'GPD': {'WRI1026049', 'WRI1061280'}}"
Pulida Solar Park,Solar,PV,PP,South Africa,83.0,,2017.0,,,-29.0438,24.9256,,,,,{nan},"{'GSPT': {'G100000800318'}, 'GPD': {'WRI1061292'}}",1,ppm,"{'GSPT': {'G100000800318'}, 'GPD': {'WRI1061292'}}"
Mulilo Prieska Mw Solar Farm,Solar,PV,PP,South Africa,39.1,,2013.0,,,-29.9673,22.3198,,,,,"{nan, nan}","{'GSPT': {'G100001024015', 'G100000800266'}, 'GPD': {'WRI1026054'}}",1,ppm,"{'GSPT': {'G100001024015', 'G100000800266'}, 'GPD': {'WRI1026054'}}"
Paleisheuwel Solar,Solar,PV,PP,South Africa,83.0,,2016.0,,,-32.4148,18.7379,,,,,{nan},"{'GSPT': {'G100000800313'}, 'GPD': {'WRI1026053'}}",1,ppm,"{'GSPT': {'G100000800313'}, 'GPD': {'WRI1026053'}}"
Mulilo Prieska Solar Farm,Solar,PV,PP,South Africa,172.0,,2016.0,,,-30.028750000000002,22.33415,,,,,"{nan, nan}","{'GSPT': {'G100000800265', 'G100000800267'}, 'GPD': {'WRI1026063'}}",1,ppm,"{'GSPT': {'G100000800265', 'G100000800267'}, 'GPD': {'WRI1026063'}}"
Linde Solar Farm,Solar,PV,PP,South Africa,40.0,,2014.0,,,-30.9986,24.6506,,,,,{nan},"{'GSPT': {'G100000800240'}, 'GPD': {'WRI1026052'}}",1,ppm,"{'GSPT': {'G100000800240'}, 'GPD': {'WRI1026052'}}"
Letsatsi Solar,Solar,PV,PP,South Africa,75.0,,2014.0,,,-28.9134,25.9199,,,,,{nan},"{'GSPT': {'G100000800236'}, 'GPD': {'WRI1026051'}}",1,ppm,"{'GSPT': {'G100000800236'}, 'GPD': {'WRI1026051'}}"
Lesedi Solar Farm,Solar,PV,PP,South Africa,75.0,,2014.0,,,-28.3154,23.3501,,,,,{nan},"{'GSPT': {'G100000800235'}, 'GPD': {'WRI1026050'}}",1,ppm,"{'GSPT': {'G100000800235'}, 'GPD': {'WRI1026050'}}"
Khi Solar One Thermosolar,Solar,Csp,PP,South Africa,50.0,,2016.0,,,-28.5364,21.0782,,,,,{nan},"{'GSPT': {'G100000800211'}, 'GPD': {'WRI1026048'}}",1,ppm,"{'GSPT': {'G100000800211'}, 'GPD': {'WRI1026048'}}"
De Aar Globeleq Solar Farm,Solar,PV,PP,South Africa,55.3,,2013.0,,,-30.62575,24.0168,,,,,"{nan, nan}","{'GSPT': {'G100000800110', 'G100000831279'}, 'GPD': {'WRI1061288', 'WRI1026037', 'WRI1026038', 'WRI1061285'}}",1,ppm,"{'GSPT': {'G100000800110', 'G100000831279'}, 'GPD': {'WRI1061288', 'WRI1026037', 'WRI1026038', 'WRI1061285'}}"
Kathu Csp Solar Park,Solar,Csp,PP,South Africa,100.0,,2018.0,,,-27.6095,23.0276,,,,,{nan},"{'GSPT': {'G100000800200'}, 'GPD': {'WKS0064975'}}",1,ppm,"{'GSPT': {'G100000800200'}, 'GPD': {'WKS0064975'}}"
Karoo Solar Farm,Solar,PV,PP,South Africa,73.8,,2014.0,,,-31.7212,23.194,,,,,{nan},"{'GSPT': {'G100000800198'}, 'GPD': {'WKS0061716'}}",1,ppm,"{'GSPT': {'G100000800198'}, 'GPD': {'WKS0061716'}}"
