carrier,profile_path,hours,p_nom_max_mw,technical_potential_twh,full_load_hours,area_km2,installable_power_density_mw_per_km2,comparison_sources,sanity_status,notes
solar,resources/za_2023_fixed_validation/renewable_profiles/profile_solar.nc,8760,4707684.669302812,7179.537453358979,1525.0676197949847,1023409.7107180026,4.6,Eskom 2023 validation targets; public/literature sanity anchors deferred to module 04 evidence audit,pass,diagnostic only; no correction factors or profile scaling applied
onwind,resources/za_2023_fixed_validation/renewable_profiles/profile_onwind.nc,8760,3094323.9825447546,5436.62878780247,1756.968183832973,1031441.3275149182,3.0,Eskom 2023 validation targets; public/literature sanity anchors deferred to module 04 evidence audit,pass,diagnostic only; no correction factors or profile scaling applied
hydro,resources/za_2023_fixed_validation/renewable_profiles/profile_hydro.nc,1,,0.0,,,,Eskom 2023 validation targets; public/literature sanity anchors deferred to module 04 evidence audit,warn,diagnostic only; no correction factors or profile scaling applied
csp,resources/za_2023_fixed_validation/renewable_profiles/profile_csp.nc,8760,2422458.215092333,3452.26570097021,1425.1084619177325,1012733.3675135172,2.392,Eskom 2023 validation targets; public/literature sanity anchors deferred to module 04 evidence audit,pass,diagnostic only; no correction factors or profile scaling applied
