Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,raw_project_ids,source_count,source_flags
Port Rex,Oil,Steam Turbine,PP,South Africa,171.0,,1976.0,,,-33.028021,27.881750999999998,,,,,"{nan, nan, nan}","{'GGPT': {'G100000411350', 'G100000411349', 'G100000411351'}, 'GPD': {'WRI1000133'}, 'GEO': {'GEO-4862'}}","{'GGPT': {'G100000411350', 'G100000411349', 'G100000411351'}, 'GPD': {'WRI1000133'}, 'GEO': {'GEO-4862'}}",1,ppm
Arnot,Hard Coal,Steam Turbine,PP,South Africa,2352.0,,1971.0,,2030.0,-25.943807000000003,29.79204,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000100351', 'G100000100348', 'G100000100349', 'G100000100350', 'G100000100352', 'G100000100353'}, 'GPD': {'WRI1000117'}, 'GEO': {'GEO-2166'}}","{'GCPT': {'G100000100351', 'G100000100348', 'G100000100349', 'G100000100350', 'G100000100352', 'G100000100353'}, 'GPD': {'WRI1000117'}, 'GEO': {'GEO-2166'}}",1,ppm
Camden,Hard Coal,Steam Turbine,PP,South Africa,1600.0,,1967.0,,2030.0,-26.621477,30.090074,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000101172', 'G100000101173', 'G100000101174', 'G100000101170', 'G100000101171', 'G100000101169', 'G100000101175', 'G100000101168'}, 'GPD': {'WRI1000118'}, 'GEO': {'GEO-2539'}}","{'GCPT': {'G100000101172', 'G100000101173', 'G100000101174', 'G100000101170', 'G100000101171', 'G100000101169', 'G100000101175', 'G100000101168'}, 'GPD': {'WRI1000118'}, 'GEO': {'GEO-2539'}}",1,ppm
Duvha,Hard Coal,Steam Turbine,PP,South Africa,3600.0,,1980.0,,2034.0,-25.961260999999997,29.339713,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000102525', 'G100000102526', 'G100000102528', 'G100000102527', 'G100000102524', 'G100000102529'}, 'GPD': {'WRI1000119'}, 'GEO': {'GEO-2994'}}","{'GCPT': {'G100000102525', 'G100000102526', 'G100000102528', 'G100000102527', 'G100000102524', 'G100000102529'}, 'GPD': {'WRI1000119'}, 'GEO': {'GEO-2994'}}",1,ppm
Hendrina,Hard Coal,Steam Turbine,PP,South Africa,2000.0,,1970.0,,2030.0,-26.032043999999996,29.601612999999997,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000103809', 'G100000103807', 'G100000103815', 'G100000103814', 'G100000103812', 'G100000103810', 'G100000103806', 'G100000103811', 'G100000103813', 'G100000103808'}, 'GPD': {'WRI1000124'}, 'GEO': {'GEO-3521'}}","{'GCPT': {'G100000103809', 'G100000103807', 'G100000103815', 'G100000103814', 'G100000103812', 'G100000103810', 'G100000103806', 'G100000103811', 'G100000103813', 'G100000103808'}, 'GPD': {'WRI1000124'}, 'GEO': {'GEO-3521'}}",1,ppm
Kendal,Hard Coal,Steam Turbine,PP,South Africa,4116.0,,1988.0,,2044.0,-26.090285000000005,28.968796,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105665', 'G100000105664', 'G100000105666', 'G100000105663', 'G100000105667', 'G100000105668'}, 'GPD': {'WRI1000125'}, 'GEO': {'GEO-3819'}}","{'GCPT': {'G100000105665', 'G100000105664', 'G100000105666', 'G100000105663', 'G100000105667', 'G100000105668'}, 'GPD': {'WRI1000125'}, 'GEO': {'GEO-3819'}}",1,ppm
Grootvlei,Hard Coal,Steam Turbine,PP,South Africa,1190.0,,1969.0,,2030.0,-26.768494,28.497758,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000103138', 'G100000103139', 'G100000103140', 'G100000103141', 'G100000103136', 'G100000103137'}, 'GPD': {'WRI1000123'}, 'GEO': {'GEO-3415'}}","{'GCPT': {'G100000103138', 'G100000103139', 'G100000103140', 'G100000103141', 'G100000103136', 'G100000103137'}, 'GPD': {'WRI1000123'}, 'GEO': {'GEO-3415'}}",1,ppm
Komati,Hard Coal,Steam Turbine,PP,South Africa,1000.0,,1961.0,,2022.0,-26.09078,29.474460000000004,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105829', 'G100000105834', 'G100000105832', 'G100000105830', 'G100000105828', 'G100000105835', 'G100000105831', 'G100000105836', 'G100000105833'}, 'GPD': {'WRI1000126'}, 'GEO': {'GEO-3884'}}","{'GCPT': {'G100000105829', 'G100000105834', 'G100000105832', 'G100000105830', 'G100000105828', 'G100000105835', 'G100000105831', 'G100000105836', 'G100000105833'}, 'GPD': {'WRI1000126'}, 'GEO': {'GEO-3884'}}",1,ppm
Lethabo,Hard Coal,Steam Turbine,PP,South Africa,3708.0,,1985.0,,2041.0,-26.742032,27.976892000000003,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106244', 'G100000106242', 'G100000106245', 'G100000106243', 'G100000106241', 'G100000106240'}, 'GPD': {'WRI1000128'}, 'GEO': {'GEO-4035'}}","{'GCPT': {'G100000106244', 'G100000106242', 'G100000106245', 'G100000106243', 'G100000106241', 'G100000106240'}, 'GPD': {'WRI1000128'}, 'GEO': {'GEO-4035'}}",1,ppm
Majuba,Hard Coal,Steam Turbine,PP,South Africa,4143.0,,1996.0,,2051.0,-27.10061,29.770963,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106604', 'G100000106602', 'G100000106600', 'G100000106601', 'G100000106603', 'G100000106605'}, 'GPD': {'WRI1000129'}, 'GEO': {'GEO-4145'}}","{'GCPT': {'G100000106604', 'G100000106602', 'G100000106600', 'G100000106601', 'G100000106603', 'G100000106605'}, 'GPD': {'WRI1000129'}, 'GEO': {'GEO-4145'}}",1,ppm
Matimba,Hard Coal,Steam Turbine,PP,South Africa,3990.0,,1987.0,,2042.0,-23.668832999999996,27.610838,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106720', 'G100000106723', 'G100000106724', 'G100000106721', 'G100000106722', 'G100000106725'}, 'GPD': {'WRI1000130'}, 'GEO': {'GEO-4203'}}","{'GCPT': {'G100000106720', 'G100000106723', 'G100000106724', 'G100000106721', 'G100000106722', 'G100000106725'}, 'GPD': {'WRI1000130'}, 'GEO': {'GEO-4203'}}",1,ppm
Matla,Hard Coal,Steam Turbine,PP,South Africa,3600.0,,1979.0,,2034.0,-26.281332000000003,29.141506000000003,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106727', 'G100000106728', 'G100000106729', 'G100000106730', 'G100000106731', 'G100000106726'}, 'GPD': {'WRI1000131'}, 'GEO': {'GEO-4204'}}","{'GCPT': {'G100000106727', 'G100000106728', 'G100000106729', 'G100000106730', 'G100000106731', 'G100000106726'}, 'GPD': {'WRI1000131'}, 'GEO': {'GEO-4204'}}",1,ppm
Pretoria West,Hard Coal,Steam Turbine,PP,South Africa,180.0,,1952.0,,2024.0,-25.758390000000002,28.14667,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000113799', 'G100000113803', 'G100000113804', 'G100000113801', 'G100000113800', 'G100000113802'}, 'GPD': {'WRI1075861'}, 'GEO': {'GEO-4924'}}","{'GCPT': {'G100000113799', 'G100000113803', 'G100000113804', 'G100000113801', 'G100000113800', 'G100000113802'}, 'GPD': {'WRI1075861'}, 'GEO': {'GEO-4924'}}",1,ppm
Rooiwal,Hard Coal,Steam Turbine,PP,South Africa,300.0,,1962.0,,2024.0,-25.55501,28.237573000000005,,,,,"{nan, nan, nan, nan, nan}","{'GCPT': {'G100000108625', 'G100000108624', 'G100000108626', 'G100000108622', 'G100000108623'}, 'GPD': {'WRI1075862'}, 'GEO': {'GEO-5164'}}","{'GCPT': {'G100000108625', 'G100000108624', 'G100000108626', 'G100000108622', 'G100000108623'}, 'GPD': {'WRI1075862'}, 'GEO': {'GEO-5164'}}",1,ppm
Tutuka,Hard Coal,Steam Turbine,PP,South Africa,3654.0,,1985.0,,2030.0,-26.777156,29.352376000000003,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000110399', 'G100000110400', 'G100000110401', 'G100000110398', 'G100000110396', 'G100000110397'}, 'GPD': {'WRI1000135'}, 'GEO': {'GEO-5813'}}","{'GCPT': {'G100000110399', 'G100000110400', 'G100000110401', 'G100000110398', 'G100000110396', 'G100000110397'}, 'GPD': {'WRI1000135'}, 'GEO': {'GEO-5813'}}",1,ppm
Kelvin Phase,Hard Coal,Steam Turbine,PP,South Africa,600.0,,1957.0,,2026.0,-26.115776,28.194019,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105652', 'G100000105644', 'G100000105648', 'G100000105646', 'G100000105641', 'G100000105643', 'G100000105649', 'G100000105650', 'G100000105645', 'G100000105640', 'G100000105647', 'G100000105651', 'G100000105642'}, 'GPD': {'WRI1075860'}, 'GEO': {'GEO-3817'}}","{'GCPT': {'G100000105652', 'G100000105644', 'G100000105648', 'G100000105646', 'G100000105641', 'G100000105643', 'G100000105649', 'G100000105650', 'G100000105645', 'G100000105640', 'G100000105647', 'G100000105651', 'G100000105642'}, 'GPD': {'WRI1075860'}, 'GEO': {'GEO-3817'}}",1,ppm
Kriel,Hard Coal,Steam Turbine,PP,South Africa,3000.0,,1976.0,,2030.0,-26.253936999999997,29.178465,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105965', 'G100000105964', 'G100000105968', 'G100000105966', 'G100000105967', 'G100000105969'}, 'GPD': {'WRI1000127'}, 'GEO': {'GEO-3911'}}","{'GCPT': {'G100000105965', 'G100000105964', 'G100000105968', 'G100000105966', 'G100000105967', 'G100000105969'}, 'GPD': {'WRI1000127'}, 'GEO': {'GEO-3911'}}",1,ppm
Witkop Solar Park,Solar,PV,PP,South Africa,30.0,,2014.0,,,-24.0419,29.3632,,,,,{nan},"{'GSPT': {'G100000800428'}, 'GPD': {'WRI1026062'}}","{'GSPT': {'G100000800428'}, 'GPD': {'WRI1026062'}}",1,ppm
Soutpan Solar Farm,Solar,PV,PP,South Africa,31.0,,2014.0,,,-22.9935,29.2501,,,,,{nan},"{'GSPT': {'G100000800382'}, 'GPD': {'WRI1026057'}}","{'GSPT': {'G100000800382'}, 'GPD': {'WRI1026057'}}",1,ppm
Tom Burke Solar Park,Solar,PV,PP,South Africa,66.0,,2016.0,,,-23.0716,27.9853,,,,,{nan},"{'GSPT': {'G100000800401'}, 'GPD': {'WRI1061290'}}","{'GSPT': {'G100000800401'}, 'GPD': {'WRI1061290'}}",1,ppm
Touwsrivier Cpv Solar,Solar,PV,PP,South Africa,44.0,,2014.0,,,-33.4103,19.9254,,,,,{nan},"{'GSPT': {'G100000800408'}, 'GPD': {'WRI1026059'}}","{'GSPT': {'G100000800408'}, 'GPD': {'WRI1026059'}}",1,ppm
Upington Utn Solar,Solar,PV,PP,South Africa,18.9,,2014.0,,,-28.409149999999997,21.268,,,,,"{nan, nan}","{'GSPT': {'G100001023931', 'G100000831293'}, 'GPD': {'WRI1026060'}}","{'GSPT': {'G100001023931', 'G100000831293'}, 'GPD': {'WRI1026060'}}",1,ppm
Vredendal Solar Park,Solar,PV,PP,South Africa,8.8,,2014.0,,,-31.6259,18.5084,,,,,{nan},"{'GSPT': {'G100000831294'}, 'GPD': {'WRI1026061'}}","{'GSPT': {'G100000831294'}, 'GPD': {'WRI1026061'}}",1,ppm
Kusile,Hard Coal,Steam Turbine,PP,South Africa,4800.0,,2018.0,,2071.0,-25.92007,28.924942,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106044', 'G100000106042', 'G100000106041', 'G100000106040', 'G100000106039', 'G100000106043'}, 'GPD': {'WRI1061281'}}","{'GCPT': {'G100000106044', 'G100000106042', 'G100000106041', 'G100000106040', 'G100000106039', 'G100000106043'}, 'GPD': {'WRI1061281'}}",1,ppm
Kaxu Solar One Thermosolar,Solar,Csp,PP,South Africa,200.0,,2015.0,,,-28.88495,19.59235,,,,,"{nan, nan}","{'GSPT': {'G100000800202', 'G100000800429'}, 'GPD': {'WKS0071109'}}","{'GSPT': {'G100000800202', 'G100000800429'}, 'GPD': {'WKS0071109'}}",1,ppm
Ingula,Hydro,Pumped Storage,Storage,South Africa,1332.0,,2016.0,,,-28.2809,29.588,,,,,{nan},"{'GHPT': {'G100000603352'}, 'GEO': {'GEO-46084'}}","{'GHPT': {'G100000603352'}, 'GEO': {'GEO-46084'}}",1,ppm
Collywobbles,Hydro,Run-Of-River,PP,South Africa,42.0,,1985.0,,,-32.0011,28.5819,,,,,{nan},"{'GHPT': {'G100001030331'}, 'GEO': {'GEO-2734'}}","{'GHPT': {'G100001030331'}, 'GEO': {'GEO-2734'}}",1,ppm
Koeberg 2,Nuclear,Steam Turbine,PP,South Africa,970.0,,1985.0,,,-33.6746,18.4321,,,,,{nan},"{'GNPT': {'G100000500318'}, 'GEO': {'GEO-3880'}}","{'GNPT': {'G100000500318'}, 'GEO': {'GEO-3880'}}",1,ppm
Darling Wind Farm,Wind,,PP,South Africa,5.2,,2008.0,,,-33.3173,18.2586,,,,,{nan},"{'GPD': {'WRI1061293'}, 'GEO': {'GEO-2869'}}","{'GPD': {'WRI1061293'}, 'GEO': {'GEO-2869'}}",1,ppm
Slimsun Swartland Solar Park,Solar,PV,PP,South Africa,10.0,,2015.0,,,-33.34995,18.5238,,,,,"{nan, nan}","{'GSPT': {'G100000831292', 'G100000831291'}, 'GPD': {'WRI1061286', 'WRI1026058'}}","{'GSPT': {'G100000831292', 'G100000831291'}, 'GPD': {'WRI1061286', 'WRI1026058'}}",1,ppm
De Aar Solar Capital Solar Farm,Solar,PV,PP,South Africa,175.0,,2014.0,,,-30.592350000000003,24.09805,,,,,"{nan, nan}","{'GSPT': {'G100000800109', 'G100000800111'}, 'GPD': {'WRI1061289', 'WRI1026039', 'WRI1061287'}}","{'GSPT': {'G100000800109', 'G100000800111'}, 'GPD': {'WRI1061289', 'WRI1026039', 'WRI1061287'}}",1,ppm
Sishen Solar,Solar,PV,PP,South Africa,94.0,,2014.0,,,-27.5778,22.9309,,,,,{nan},"{'GSPT': {'G100000800357'}, 'GPD': {'WRI1026056'}}","{'GSPT': {'G100000800357'}, 'GPD': {'WRI1026056'}}",1,ppm
Amakhala Emoyeni Wind Farm,Wind,Onshore,PP,South Africa,203.0,,2016.0,,,-32.690349999999995,26.106749999999998,,,,,"{nan, nan}","{'GWPT': {'G100000920675', 'G100000900092'}, 'GPD': {'WRI1026029'}}","{'GWPT': {'G100000920675', 'G100000900092'}, 'GPD': {'WRI1026029'}}",1,ppm
Rustmo Solar Farm,Solar,PV,PP,South Africa,6.9,,2013.0,,,-25.7372,27.4202,,,,,{nan},"{'GSPT': {'G100000831289'}, 'GPD': {'WRI1026055'}}","{'GSPT': {'G100000831289'}, 'GPD': {'WRI1026055'}}",1,ppm
Aries Za Solar,Solar,PV,PP,South Africa,9.6,,2014.0,,,-29.502,20.7821,,,,,{nan},"{'GSPT': {'G100000831276'}, 'GPD': {'WRI1026033'}}","{'GSPT': {'G100000831276'}, 'GPD': {'WRI1026033'}}",1,ppm
Adams Aurora Solar Farm,Solar,PV,PP,South Africa,85.0,,2017.0,,,-27.36965,23.010350000000003,,,,,"{nan, nan}","{'GSPT': {'G100000831273', 'G100000800007'}, 'GPD': {'WRI1061276'}}","{'GSPT': {'G100000831273', 'G100000800007'}, 'GPD': {'WRI1061276'}}",1,ppm
West Coast Wind Farm,Wind,Onshore,PP,South Africa,94.0,,2015.0,,,-32.8343,17.9956,,,,,{nan},"{'GWPT': {'G100000900005'}, 'GPD': {'WRI1026023'}}","{'GWPT': {'G100000900005'}, 'GPD': {'WRI1026023'}}",1,ppm
Waainek Wind Farm,Wind,Onshore,PP,South Africa,25.0,,2016.0,,,-32.5901,26.4569,,,,,{nan},"{'GWPT': {'G100000900015'}, 'GPD': {'WRI1061297'}}","{'GWPT': {'G100000900015'}, 'GPD': {'WRI1061297'}}",1,ppm
Metrowind Van Stadens Wind Farm,Wind,Onshore,PP,South Africa,54.0,,2014.0,,,-33.96105,25.24615,,,,,"{nan, nan}","{'GWPT': {'G100000900066', 'G100000920673'}, 'GPD': {'WRI1061294'}}","{'GWPT': {'G100000900066', 'G100000920673'}, 'GPD': {'WRI1061294'}}",1,ppm
Tsitsikamma Community Wind Farm,Wind,Onshore,PP,South Africa,95.0,,2016.0,,,-34.0735,24.5067,,,,,{nan},"{'GWPT': {'G100000900077'}, 'GPD': {'WRI1061300'}}","{'GWPT': {'G100000900077'}, 'GPD': {'WRI1061300'}}",1,ppm
Sere Wind Farm,Wind,Onshore,PP,South Africa,100.0,,2015.0,,,-31.5296,18.0943,,,,,{nan},"{'GWPT': {'G100000900029'}, 'GPD': {'WRI1000134'}}","{'GWPT': {'G100000900029'}, 'GPD': {'WRI1000134'}}",1,ppm
Kouga Wind Farm,Wind,Onshore,PP,South Africa,80.0,,2015.0,,,-34.144,24.7004,,,,,{nan},"{'GWPT': {'G100000900063'}, 'GPD': {'WRI1026014'}}","{'GWPT': {'G100000900063'}, 'GPD': {'WRI1026014'}}",1,ppm
Loeriesfontein Wind Farm,Wind,Onshore,PP,South Africa,278.0,,2017.0,,,-30.39185,19.58905,,,,,"{nan, nan}","{'GWPT': {'G100000900048', 'G100000927426'}, 'GPD': {'WRI1061282'}}","{'GWPT': {'G100000900048', 'G100000927426'}, 'GPD': {'WRI1061282'}}",1,ppm
Khobab Wind Farm,Wind,Onshore,PP,South Africa,140.0,,2017.0,,,-30.4344,19.5538,,,,,{nan},"{'GWPT': {'G100000900047'}, 'GPD': {'WRI1061278'}}","{'GWPT': {'G100000900047'}, 'GPD': {'WRI1061278'}}",1,ppm
Jeffrey Bay Wind Farm,Wind,Onshore,PP,South Africa,138.0,,2011.0,,,-34.0107,24.8808,,,,,{nan},"{'GWPT': {'G100000900039'}, 'GPD': {'WRI1061296'}}","{'GWPT': {'G100000900039'}, 'GPD': {'WRI1061296'}}",1,ppm
Grassridge Wind Farm,Wind,Onshore,PP,South Africa,62.0,,2014.0,,,-33.6551,25.5915,,,,,{nan},"{'GWPT': {'G100000900013'}, 'GPD': {'WRI1061298'}}","{'GWPT': {'G100000900013'}, 'GPD': {'WRI1061298'}}",1,ppm
Gouda Wind Farm,Wind,Onshore,PP,South Africa,138.0,,2015.0,,,-33.2564,19.0184,,,,,{nan},"{'GWPT': {'G100000900001'}, 'GPD': {'WRI1061299'}}","{'GWPT': {'G100000900001'}, 'GPD': {'WRI1061299'}}",1,ppm
Dorper Wind Farm,Wind,Onshore,PP,South Africa,100.0,,2012.0,,,-31.4809,26.4393,,,,,{nan},"{'GWPT': {'G100000900060'}, 'GPD': {'WRI1061295'}}","{'GWPT': {'G100000900060'}, 'GPD': {'WRI1061295'}}",1,ppm
Dassieklip Wind Farm,Wind,Onshore,PP,South Africa,27.0,,2014.0,,,-34.2275,19.383,,,,,{nan},"{'GWPT': {'G100000900007'}, 'GPD': {'WRI1026021'}}","{'GWPT': {'G100000900007'}, 'GPD': {'WRI1026021'}}",1,ppm
Cookhouse Wind Farm,Wind,Onshore,PP,South Africa,139.0,,2014.0,,,-32.7333,25.9093,,,,,{nan},"{'GWPT': {'G100000900002'}, 'GPD': {'WRI1026026'}}","{'GWPT': {'G100000900002'}, 'GPD': {'WRI1026026'}}",1,ppm
Chaba Wind Farm,Wind,Onshore,PP,South Africa,22.0,,2015.0,,,-32.5901,27.9623,,,,,{nan},"{'GWPT': {'G100000900014'}, 'GPD': {'WRI1061301'}}","{'GWPT': {'G100000900014'}, 'GPD': {'WRI1061301'}}",1,ppm
Aurora Rietvlei Solar,Solar,PV,PP,South Africa,8.9,,2014.0,,,-32.6413,18.4973,,,,,{nan},"{'GSPT': {'G100000831277'}, 'GPD': {'WRI1026034'}}","{'GSPT': {'G100000831277'}, 'GPD': {'WRI1026034'}}",1,ppm
Bokpoort Concentrated Solar,Solar,Csp,PP,South Africa,50.0,,2016.0,,,-28.7333,21.9955,,,,,{nan},"{'GSPT': {'G100000800082'}, 'GPD': {'WRI1026035'}}","{'GSPT': {'G100000800082'}, 'GPD': {'WRI1026035'}}",1,ppm
Boshof Solar,Solar,PV,PP,South Africa,66.0,,2014.0,,,-28.4628,25.1891,,,,,{nan},"{'GSPT': {'G100000800086'}, 'GPD': {'WRI1026036'}}","{'GSPT': {'G100000800086'}, 'GPD': {'WRI1026036'}}",1,ppm
Konkoonsies Solar Energy Facility,Solar,PV,PP,South Africa,95.6,,2014.0,,,-28.887,19.5545,,,,,"{nan, nan}","{'GSPT': {'G100000800226', 'G100000831285'}, 'GPD': {'WRI1026049', 'WRI1061280'}}","{'GSPT': {'G100000800226', 'G100000831285'}, 'GPD': {'WRI1026049', 'WRI1061280'}}",1,ppm
Pulida Solar Park,Solar,PV,PP,South Africa,83.0,,2017.0,,,-29.0438,24.9256,,,,,{nan},"{'GSPT': {'G100000800318'}, 'GPD': {'WRI1061292'}}","{'GSPT': {'G100000800318'}, 'GPD': {'WRI1061292'}}",1,ppm
Mulilo Prieska Mw Solar Farm,Solar,PV,PP,South Africa,39.1,,2013.0,,,-29.9673,22.3198,,,,,"{nan, nan}","{'GSPT': {'G100000800266', 'G100001024015'}, 'GPD': {'WRI1026054'}}","{'GSPT': {'G100000800266', 'G100001024015'}, 'GPD': {'WRI1026054'}}",1,ppm
Paleisheuwel Solar,Solar,PV,PP,South Africa,83.0,,2016.0,,,-32.4148,18.7379,,,,,{nan},"{'GSPT': {'G100000800313'}, 'GPD': {'WRI1026053'}}","{'GSPT': {'G100000800313'}, 'GPD': {'WRI1026053'}}",1,ppm
Mulilo Prieska Solar Farm,Solar,PV,PP,South Africa,172.0,,2016.0,,,-30.028750000000002,22.33415,,,,,"{nan, nan}","{'GSPT': {'G100000800267', 'G100000800265'}, 'GPD': {'WRI1026063'}}","{'GSPT': {'G100000800267', 'G100000800265'}, 'GPD': {'WRI1026063'}}",1,ppm
Linde Solar Farm,Solar,PV,PP,South Africa,40.0,,2014.0,,,-30.9986,24.6506,,,,,{nan},"{'GSPT': {'G100000800240'}, 'GPD': {'WRI1026052'}}","{'GSPT': {'G100000800240'}, 'GPD': {'WRI1026052'}}",1,ppm
Letsatsi Solar,Solar,PV,PP,South Africa,75.0,,2014.0,,,-28.9134,25.9199,,,,,{nan},"{'GSPT': {'G100000800236'}, 'GPD': {'WRI1026051'}}","{'GSPT': {'G100000800236'}, 'GPD': {'WRI1026051'}}",1,ppm
Lesedi Solar Farm,Solar,PV,PP,South Africa,75.0,,2014.0,,,-28.3154,23.3501,,,,,{nan},"{'GSPT': {'G100000800235'}, 'GPD': {'WRI1026050'}}","{'GSPT': {'G100000800235'}, 'GPD': {'WRI1026050'}}",1,ppm
Khi Solar One Thermosolar,Solar,Csp,PP,South Africa,50.0,,2016.0,,,-28.5364,21.0782,,,,,{nan},"{'GSPT': {'G100000800211'}, 'GPD': {'WRI1026048'}}","{'GSPT': {'G100000800211'}, 'GPD': {'WRI1026048'}}",1,ppm
De Aar Globeleq Solar Farm,Solar,PV,PP,South Africa,55.3,,2013.0,,,-30.62575,24.0168,,,,,"{nan, nan}","{'GSPT': {'G100000800110', 'G100000831279'}, 'GPD': {'WRI1061288', 'WRI1026038', 'WRI1026037', 'WRI1061285'}}","{'GSPT': {'G100000800110', 'G100000831279'}, 'GPD': {'WRI1061288', 'WRI1026038', 'WRI1026037', 'WRI1061285'}}",1,ppm
