carrier,parameter,value_zar,value_eur,units,base_year,source_carrier_in_audit,source_path,source_hash,conversion_eur_zar_rate,conversion_rate_base_year,source,notes
ror,efficiency,,0.900000000,per unit,,ror,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
ror,lifetime,,80.000000000,years,,ror,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
PHS,investment,,2000.000000000,EUR/kWel,2013.000000000,PHS,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
PHS,FOM,,1.000000000,%/year,2013.000000000,PHS,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
PHS,efficiency,,0.750000000,per unit,,PHS,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
PHS,lifetime,,80.000000000,years,,PHS,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
PHS,VOM_zar,0.000250000,0.000016007,R/MWh,2018.000000000,phs,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
PHS,FOM_zar,222.000000000,14.213851960,R/kW/yr,2018.000000000,phs,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
PHS,round_trip_efficiency,,0.758000000,%,2018.000000000,phs,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
PHS,max_storage_hours,,21.197432024,hours,2018.000000000,phs,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
battery,investment,,192.000000000,USD/kWh,2013.000000000,battery storage,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
battery,lifetime,,15.000000000,years,,battery storage,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
battery,VOM_zar,0.000000000,0.000000000,R/MWh,2018.000000000,battery_4h,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
battery,FOM_zar,855.000000000,54.742537954,R/kW/yr,2018.000000000,battery_4h,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
