layer_key,attachment_type,source_id,target_region_id,weight,source_file,source_hash,notes
10,demand,RSA Contracted Demand,Western Cape,0.084293895119,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,East London,0.025373363003,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Gqeberha,0.052031277519,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Mthatha,0.035857939031,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Bloemfontein,0.009534588625,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Welkom,0.015973792422,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Johannesburg,0.033297534644,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Midrand,0.014014330608,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Nigel,0.037059572804,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
34,demand,RSA Contracted Demand,Pretoria,0.039987161951,resources/za_2023_fixed_validation/shapes/gadm_shapes.geojson|/Users/nylan/Documents/BSE/Reliable-Electrification-Planning-SA-Vault/6-codebases/repos/pypsa-rsa/data/bundle/supply_regions/rsa_supply_regions.gpkg,0bcce806e18e6e3d43fad31f9ee8606d4d2f501481cfc8168f5f4781aa38793d|eacd403aaf70ea1eba71f3545689e4b49a25a45ca9e561ba44654c452f68bf82,pypsa_earth_0.6_gdp_0.4_pop_area_overlay
