scenario_set,sheet,source_path,Scenario,bus0,bus1,voltage (kV),length (km),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,scenario,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,LINE_START,LINE_END,DESIGN_VOL,LINE_STATU,BUILD_YEAR,CHECK,Length
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,Gauteng,North West,400.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,Hydra Central,Northern Cape,400.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,Hydra Central,Western Cape,400.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,KwaZulu Natal,Mpumalanga,400.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,Limpopo,North West,400.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,Mpumalanga,North West,400.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,North West,Western Cape,400.0,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Coal_Flexibilisation,transmission_expansion,scenarios/Coal_Flexibilisation/sub_scenarios/transmission_expansion.xlsx,,Northern Cape,Western Cape,400.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUNO,AURORA,400.0,PLANNED,2031.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUNO,GROMIS,400.0,PLANNED,2024.0,,
